G-word;E-word;WdNum;VAL_Mean;VAL_SD;ARO_Mean_(ANEW);ARO_SD_(ANEW);ARO_Mean_(BAWL);ARO_SD_(BAWL);DOM_Mean;DOM_SD;POT_Mean;POT_SD;IMA_MEAN;IMA_SD;freq_Leipzig;freq_SUBTLEX;#_letters;#_syllables;word_class;N_orth;HFN;NF_MAX;F_SUM
Prozess;lawsuit;842;-0.87;1.30;4.75;1.65;2.92;0.89;4.56;1.46;6.16;0.94;3.20;1.94;2405.00;25.08;7;2;S;0;0;0.00;0.00
faul;lazy;843;-1.40;1.12;3.70;1.78;2.69;1.05;4.88;1.92;3.52;2.13;3.95;1.66;161.00;12.68;4;1;A;5;1;376.00;389.83
Führer;leader;844;-1.40;1.13;6.35;1.73;3.86;0.92;5.19;1.89;6.85;1.17;5.47;1.75;1225.00;24.69;6;2;S;3;1;419.67;478.17
Legende;legend;845;1.07;1.39;4.20;1.85;2.62;1.13;5.38;1.71;5.70;1.44;2.70;1.89;619.00;19.37;7;3;S;0;0;0.00;0.00
Brief;letter;846;1.50;0.90;4.05;1.76;2.22;1.00;5.88;1.63;4.65;1.58;6.42;0.86;2471.00;60.79;5;1;S;1;0;0.00;0.00
Leuchtturm;lighthouse;847;1.48;0.92;3.70;1.42;2.48;1.05;5.50;1.31;5.45;1.13;6.50;1.19;187.00;2.40;10;2;S;0;0;0.00;0.00
gelenkig;limber;848;1.27;0.79;4.25;1.86;3.45;0.69;5.69;1.58;5.18;1.89;4.25;1.29;399.00;0.63;8;3;A;0;0;0.00;0.00
lebhaft;lively;849;1.75;1.06;6.05;1.23;3.08;1.06;6.56;1.34;5.30;1.56;3.15;1.39;135.00;2.87;7;2;A;0;0;0.00;0.00
Spind;locker;850;-0.08;0.64;4.05;1.50;2.52;0.77;5.13;1.59;4.50;2.12;5.45;1.47;263.00;3.94;5;3;S;2;0;0.33;0.33
Verlierer;loser;851;-1.57;1.22;5.53;1.81;3.35;1.23;5.75;1.66;3.21;1.81;4.10;1.34;984.00;15.87;9;3;S;1;1;161.50;161.50
verloren;lost;852;-1.40;1.35;5.20;1.74;3.35;1.23;4.13;1.56;5.10;1.71;2.60;1.54;6977.00;241.66;8;3;A;4;0;5.17;12.83
Lotterie;lottery;853;0.40;0.84;4.75;2.07;3.22;1.06;4.31;2.06;4.93;1.54;4.11;1.69;64.00;4.13;8;3;S;1;0;0.00;0.00
Beule;lump;854;-1.40;0.88;5.60;1.23;3.20;1.06;4.31;1.43;5.08;1.50;4.77;1.51;33.00;3.78;5;2;S;3;2;18.83;20.83
Maschine;machine;855;0.13;0.89;3.25;1.86;2.50;0.81;5.75;2.01;5.75;1.85;5.60;1.10;1567.00;48.94;8;3;S;0;0;0.00;0.00
verrückt;madman;857;-0.20;1.47;6.35;1.57;3.62;0.85;5.38;1.73;5.48;1.66;3.30;1.72;536.00;258.16;8;2;A;1;0;0.83;0.83
magisch;magical;858;1.20;1.03;5.50;2.09;2.79;1.32;4.63;1.74;5.28;1.97;2.78;1.30;68.00;3.46;7;2;A;0;0;0.00;0.00
Post;mail;859;0.63;0.96;4.75;1.71;2.47;1.07;5.50;1.10;4.76;1.09;5.80;1.12;3109.00;24.69;4;1;S;8;0;3.67;21.00
Malaria;malaria;860;-2.10;0.74;6.90;1.48;4.00;1.03;3.06;1.66;6.38;1.51;3.11;1.76;128.00;1.81;7;4;S;0;0;0.00;0.00
zerfleischen;mangle;861;-2.28;0.84;7.50;1.43;4.36;0.86;4.25;2.04;8.00;1.56;4.25;1.52;863.00;0.75;12;2;V;0;0;0.00;0.00
manisch;maniac;862;-1.40;1.06;6.10;1.97;3.62;0.98;4.44;1.47;5.92;1.53;2.65;1.76;28.00;0.71;7;2;A;2;2;11.83;13.83
Weise;manner;863;1.80;0.92;3.40;1.57;2.10;1.41;6.06;1.28;4.50;1.58;2.75;1.68;290.00;68.51;5;2;A;9;9;45.50;144.83
Konsole;mantel;864;0.06;0.85;3.70;1.89;2.55;1.10;6.31;2.03;4.72;1.21;5.58;1.64;50.00;1.54;7;3;S;0;0;0.00;0.00
Jauche;manure;865;-1.90;0.91;5.40;1.54;3.16;0.76;4.75;1.43;5.84;1.60;3.73;1.64;13.00;0.31;6;2;S;0;0;0.00;0.00
Markt;market;866;0.80;0.79;4.35;2.30;2.38;1.02;5.69;1.15;4.58;1.53;6.22;0.67;9468.00;17.17;5;1;S;1;0;7.50;7.50
Massaker;massacre;867;-2.80;0.42;7.75;1.59;4.61;0.70;3.31;1.86;7.85;1.12;5.67;0.71;507.00;5.39;8;3;S;0;0;0.00;0.00
Material;material;868;0.07;0.80;3.75;1.89;2.19;1.10;5.63;1.31;4.93;1.65;4.05;1.90;1779.00;19.80;8;4;S;0;0;0.00;0.00
Medizin;medicine;869;1.40;0.84;4.65;1.69;2.83;1.29;4.25;1.36;5.83;1.39;4.67;1.41;965.00;40.04;7;3;S;0;0;0.00;0.00
Melodie;melody;870;1.70;0.82;4.50;2.21;2.24;1.30;5.50;1.81;4.73;1.75;3.56;1.59;236.00;8.74;7;3;S;1;0;0.00;0.00
Erinnerungen;memories;871;1.00;1.21;4.45;2.09;2.81;1.06;5.50;1.82;5.80;1.95;2.95;1.88;1120.00;43.86;12;5;S;0;0;0.00;0.00
fröhlich;merry;872;1.60;0.91;5.26;1.94;3.00;1.30;6.06;1.39;6.27;2.07;4.24;1.48;382.00;10.55;8;2;A;0;0;0.00;0.00
unordentlich;messy;873;-1.07;0.70;5.60;1.64;2.85;1.05;5.31;1.36;4.51;1.49;4.19;1.44;11.00;1.89;12;4;A;0;0;0.00;0.00
Metall;metal;874;-0.05;0.89;3.85;1.81;2.65;1.23;5.81;1.03;5.33;1.79;3.73;1.86;1837.00;10.43;6;2;S;0;0;0.00;0.00
Methode;method;875;0.25;0.77;3.35;1.53;2.12;0.86;5.69;1.28;4.98;1.51;2.40;1.90;1087.00;12.05;7;3;S;0;0;0.00;0.00
Milch;milk;876;1.50;1.08;3.25;1.74;1.67;0.69;6.13;1.88;4.38;1.60;6.67;0.71;573.00;33.11;5;1;S;1;0;2.17;2.17
Verstand;mind;877;1.90;1.20;4.60;1.47;2.72;0.96;5.94;1.18;5.88;1.42;2.33;1.41;1419.00;61.34;8;1;S;1;1;94.17;94.17
Streich;mischief;878;0.10;0.99;5.20;1.70;2.94;0.94;5.13;1.33;4.60;1.50;2.90;1.92;2512.00;7.40;7;2;S;0;0;0.00;0.00
Elend;misery;879;-2.10;0.74;6.20;1.94;4.10;0.97;4.00;1.92;6.80;1.80;4.00;1.41;500.00;9.13;5;2;S;0;0;0.00;0.00
Fehler;mistake;880;-1.60;1.05;5.90;1.52;3.19;0.87;5.13;1.51;6.00;1.71;2.50;1.47;3852.00;159.42;6;2;S;3;1;126.00;127.50
Mobilität;mobility;881;1.53;1.19;4.80;1.58;2.69;1.01;6.38;1.75;5.50;1.54;3.40;1.85;304.00;0.20;9;4;S;1;0;1.00;1.00
Gussform;mold;882;0.40;0.52;3.75;1.71;2.91;0.70;5.69;1.99;5.09;1.04;5.25;1.59;112.00;0.08;8;2;S;0;0;0.00;0.00
temperamentvoll;moody;883;1.13;1.26;6.35;2.03;3.69;0.93;5.75;1.96;7.28;1.17;4.33;1.59;37.00;0.63;15;5;A;0;0;0.00;0.00
Moral;moral;884;-0.10;1.41;4.45;2.01;2.56;0.98;6.00;1.49;6.72;1.57;1.73;1.08;790.00;11.58;5;2;S;1;0;0.00;0.00
Moskito;mosquito;885;-1.40;0.84;5.40;1.98;3.44;0.78;4.69;1.96;5.00;1.77;5.89;1.05;9.00;0.16;7;3;S;0;0;0.00;0.00
trüb;muddy;887;-1.06;0.68;4.05;1.67;2.86;0.99;4.69;1.05;4.00;1.32;4.00;1.71;38.00;0.47;4;1;A;2;0;1.67;1.67
Muffin;muffin;888;1.10;1.08;4.05;2.01;2.35;0.75;5.94;1.99;4.33;1.64;6.43;0.75;1.00;4.37;6;2;S;1;1;1.50;1.50
Museum;museum;889;1.13;1.06;3.35;1.79;2.04;0.82;5.50;1.15;4.83;1.39;5.88;1.39;3030.00;16.77;6;3;S;0;0;0.00;0.00
Mutation;mutation;890;-1.40;0.70;6.20;1.40;3.50;0.79;3.50;1.50;6.18;1.62;4.11;1.90;72.00;2.52;8;4;S;1;0;0.00;0.00
mystisch;mystic;891;0.30;1.49;5.55;1.96;2.26;1.24;4.75;1.41;5.45;1.87;2.56;1.24;26.00;0.51;8;2;A;1;0;0.00;0.00
unbekleidet;naked;892;0.44;1.21;5.55;1.96;3.31;1.05;5.69;1.88;4.16;1.62;4.90;1.65;17.00;0.28;11;4;A;0;0;0.00;0.00
Name;name;893;0.59;0.82;2.90;1.45;2.21;1.13;5.13;1.18;4.75;1.48;3.81;2.00;2449.00;252.49;4;2;S;5;1;379.83;552.33
Betäubungsmittel;narcotic;894;-0.73;1.71;5.85;1.76;3.19;0.90;4.25;1.96;6.36;1.68;3.80;1.82;24.00;2.09;16;5;S;0;0;0.00;0.00
ekelhaft;nasty;895;-1.87;1.36;7.10;1.25;3.92;0.89;4.38;1.49;6.52;1.53;3.20;1.20;19.00;12.99;8;3;A;0;0;0.00;0.00
natürlich;natural;896;1.60;1.06;3.60;1.54;2.00;0.94;5.63;1.05;5.05;1.68;3.85;1.39;8081.00;0.00;9;3;A;0;0;0.00;0.00
Nadel;needle;897;-0.55;1.05;5.35;1.73;2.86;1.28;5.81;1.64;4.43;1.63;6.52;0.96;124.00;10.47;5;2;S;4;1;12.33;17.33
Vernachlässigung;neglect;898;-1.87;1.19;6.70;1.17;3.19;1.17;4.81;1.68;6.40;1.34;3.35;1.63;106.00;0.16;16;5;S;0;0;0.00;0.00
nervös;nervous;899;-1.40;0.99;6.55;1.15;3.73;0.96;4.50;1.67;4.38;1.84;4.05;1.53;615.00;62.29;6;2;A;0;0;0.00;0.00
neurotisch;neurotic;900;-1.50;0.97;6.50;1.73;3.77;0.86;5.38;1.55;5.58;1.74;2.40;1.39;13.00;1.18;10;3;A;1;0;0.00;0.00
Nachrichten;news;901;0.36;1.34;5.15;2.13;2.58;1.14;4.50;1.63;5.55;1.36;3.55;1.70;1629.00;63.51;11;3;S;0;0;0.00;0.00
sympathisch;nice;902;2.14;0.86;4.60;1.93;2.73;1.12;6.06;1.45;5.36;1.89;3.25;1.97;969.00;4.41;11;2;A;0;0;0.00;0.00
Brustwarze;nipple;903;0.56;1.31;6.10;1.80;3.31;1.12;5.88;1.17;5.35;1.70;6.70;0.73;2.00;0.94;10;3;S;0;0;0.00;0.00
laut;noisy;904;-0.27;1.56;5.65;1.81;4.27;0.65;5.38;1.81;6.55;0.93;3.45;1.73;3745.00;84.65;4;1;S;5;0;78.67;169.50
Blödsinn;nonsense;905;-0.27;1.05;5.55;1.64;3.31;0.93;5.69;1.32;5.50;1.66;2.63;1.53;121.00;33.66;8;2;S;0;0;0.00;0.00
Strick;noose;906;-0.93;1.27;5.15;2.41;3.23;1.07;5.75;1.59;6.73;0.90;5.85;1.40;362.00;2.87;6;1;S;1;1;12.67;12.67
ernähren;nourish;907;0.87;0.64;3.90;1.48;2.31;0.93;6.19;1.50;5.24;0.83;3.30;1.69;183.00;8.39;8;3;V;1;0;0.67;0.67
Belästigung;nuisance;908;-2.07;1.10;7.25;0.91;4.04;0.72;5.00;1.92;6.56;1.00;3.55;1.67;124.00;4.88;11;4;S;0;0;0.00;0.00
Nonne;nun;909;-0.45;1.05;3.25;1.94;2.28;0.89;5.00;1.60;4.48;1.71;6.00;1.23;68.00;6.14;5;2;S;4;2;90.33;166.17
Kinderkrippe;nursery;910;0.81;1.11;3.80;2.33;2.50;1.10;5.69;1.84;4.75;1.85;4.90;1.52;14.00;0.12;12;4;S;0;0;0.00;0.00
Fettleibigkeit;obesity;911;-1.93;1.16;6.20;1.47;3.04;1.00;4.94;1.83;6.64;1.38;5.55;1.19;39.00;0.20;14;4;S;0;0;0.00;0.00
gehorchen;obey;912;-0.94;1.00;5.63;1.95;2.65;1.09;4.38;2.15;4.88;1.82;3.62;1.50;59.00;9.49;9;3;V;1;0;0.17;0.17
widerlich;obnoxious;913;-2.14;0.66;6.85;1.98;3.71;0.77;4.25;1.55;6.24;1.27;3.38;1.24;39.00;12.32;9;3;A;0;0;0.00;0.00
obszön;obscene;914;-0.75;1.06;6.45;1.67;3.88;0.59;5.06;1.36;5.90;1.50;2.75;1.77;42.00;1.46;6;2;A;0;0;0.00;0.00
Besessenheit;obsession;915;-1.64;1.39;7.85;1.09;3.92;0.80;4.56;1.87;7.00;1.52;2.65;1.27;55.00;5.35;12;4;S;0;0;0.00;0.00
komisch;odd;916;0.70;1.57;5.60;1.05;2.58;1.30;6.00;1.45;4.60;1.38;3.89;1.36;402.00;101.78;7;2;A;1;0;0.83;0.83
beleidigen;offend;917;-1.93;1.14;6.70;1.26;3.62;0.98;4.94;1.80;4.30;2.25;3.62;1.56;44.00;9.17;10;4;V;1;0;0.00;0.00
Optimismus;optimism;918;2.27;0.96;5.05;1.68;2.69;1.26;6.50;1.90;6.10;1.84;2.90;1.94;893.00;1.30;10;4;S;0;0;0.00;0.00
Möglichkeit;option;919;0.80;0.77;4.30;1.59;2.42;1.06;6.25;1.27;5.35;1.37;2.15;1.23;4859.00;65.28;11;3;S;0;0;0.00;0.00
Orgasmus;orgasm;920;2.33;1.11;7.20;1.74;4.15;1.05;6.13;2.35;7.35;1.19;4.40;2.35;64.00;4.61;8;3;S;0;0;0.00;0.00
Gräueltat;outrage;921;-2.07;0.70;7.50;0.95;4.38;0.64;3.13;1.72;6.90;1.68;2.95;1.47;6.00;0.51;9;3;S;0;0;0.00;0.00
außerordentlich;outstanding;922;1.13;0.81;6.20;1.11;3.00;1.06;5.63;1.22;6.20;1.19;1.95;1.19;554.00;4.61;15;5;A;0;0;0.00;0.00
bewölkt;overcast;923;-0.33;0.90;3.85;1.46;2.27;0.72;4.38;1.43;4.20;1.41;5.60;1.19;166.00;1.57;7;2;A;0;0;0.00;0.00
Anstrich;paint;924;0.31;0.79;3.80;1.61;2.00;1.06;5.31;1.54;4.30;1.40;5.05;1.64;110.00;0.55;8;2;S;1;1;2.67;2.67
Pamphlet;pamphlet;925;-0.28;0.98;4.65;1.57;3.40;0.87;5.13;1.57;5.40;2.12;3.20;1.99;472.00;0.28;8;3;S;0;0;0.00;0.00
Lähmung;paralysis;926;-1.73;1.33;5.70;2.15;3.08;1.32;3.88;2.24;5.73;2.03;4.60;1.19;114.00;1.54;7;2;S;1;0;1.83;1.83
Teil;part;927;0.38;0.85;3.65;1.84;1.89;0.83;5.00;1.23;4.43;1.45;3.58;1.96;13157.00;194.89;4;1;S;8;1;775.67;815.50
Durchgang;passage;928;0.29;0.69;4.25;1.77;2.00;0.94;5.31;1.32;4.68;1.35;4.40;2.04;596.00;2.44;9;2;S;0;0;0.00;0.00
geduldig;patient;929;1.13;0.74;3.10;0.91;1.62;0.70;6.50;1.14;6.10;1.56;3.05;1.16;248.00;5.75;8;3;A;0;0;0.00;0.00
Patriot;patriot;930;-0.57;1.65;5.65;1.66;2.96;1.08;5.19;1.05;5.79;1.59;4.33;1.74;86.00;2.01;7;3;S;0;0;0.00;0.00
Bußgeld;penalty;931;-1.71;0.79;6.75;1.55;3.87;0.73;3.75;1.34;6.16;1.34;3.95;1.88;270.00;0.55;7;2;S;0;0;0.00;0.00
Penis;penis;932;0.33;1.50;6.60;2.09;3.69;0.88;5.88;1.88;6.73;1.32;6.55;1.19;69.00;17.21;5;2;S;0;0;0.00;0.00
Dachwohnung;penthouse;933;1.27;1.56;3.80;1.44;2.64;1.03;5.13;1.73;5.18;1.54;5.85;0.99;97.00;0.08;11;3;S;0;0;0.00;0.00
Parfüm;perfume;934;1.77;1.27;4.55;2.01;3.00;1.31;6.38;1.71;4.43;1.57;4.41;2.06;69.00;5.59;6;2;S;1;0;1.17;1.17
Haustier;pet;935;1.20;0.92;4.05;1.88;2.22;0.88;6.56;1.45;3.83;1.57;5.48;1.36;51.00;4.02;8;2;S;0;0;0.00;0.00
Phase;phase;936;0.00;0.73;4.25;1.33;2.44;0.78;4.69;1.25;4.65;1.46;1.77;0.92;1633.00;14.53;5;2;S;0;0;0.00;0.00
Schwein;pig;937;0.59;1.44;4.90;1.83;2.77;1.27;5.50;1.50;5.18;1.57;5.95;1.33;247.00;62.09;7;1;S;4;1;78.50;95.33
Kniff;pinch;938;0.43;0.76;4.95;1.36;2.62;0.80;5.06;1.29;4.88;1.33;3.35;1.90;17.00;0.35;5;1;S;1;0;0.00;0.00
Pistole;pistol;939;-1.50;1.18;6.70;1.75;3.94;0.87;4.56;2.11;6.40;1.60;6.22;1.09;498.00;39.17;7;3;S;0;0;0.00;0.00
Mitleid;pity;940;0.00;1.63;5.65;1.53;3.00;0.61;5.06;1.68;5.30;1.71;3.33;1.87;392.00;23.47;7;2;S;0;0;0.00;0.00
flach;plain;941;-0.20;0.56;3.35;1.60;2.15;0.92;4.81;0.64;3.98;1.53;3.80;1.40;269.00;7.40;5;1;A;1;0;6.33;6.33
Poster;poster;942;0.25;0.45;3.55;1.50;2.08;0.89;6.38;1.83;4.10;1.45;5.45;1.39;128.00;5.08;6;2;S;1;1;25.67;25.67
Druck;pressure;944;-1.59;1.05;6.15;1.42;3.61;1.09;4.38;1.90;5.95;1.18;3.54;1.81;6485.00;41.77;5;1;S;2;0;7.83;7.83
Prestige;prestige;945;0.29;1.07;5.85;1.23;2.88;1.07;5.56;1.24;6.03;1.23;2.45;1.90;166.00;0.98;8;3;S;0;0;0.00;0.00
Stich;prick;946;-0.90;0.57;5.80;1.88;3.62;0.59;5.06;1.22;5.24;1.71;5.00;1.73;861.00;28.54;5;1;S;0;0;0.00;0.00
Fortschritt;progress;947;1.29;1.44;5.45;2.01;3.04;1.08;6.00;1.57;5.93;1.51;3.20;1.79;865.00;6.58;11;2;S;0;0;0.00;0.00
ätzend;pungent;948;-1.60;1.06;7.00;1.08;3.73;0.96;4.19;1.32;6.08;1.68;3.48;1.44;18.00;6.42;6;2;A;0;0;0.00;0.00
Python;python;949;-0.80;1.29;5.95;1.85;3.84;0.99;4.44;1.94;6.80;1.87;6.35;1.46;13.00;0.91;6;2;S;0;0;0.00;0.00
Qualität;quality;950;1.65;1.04;3.95;1.70;2.28;1.02;5.94;1.15;5.65;1.59;2.42;1.50;2967.00;11.89;8;3;S;0;0;0.00;0.00
Liter;quart;951;0.50;0.89;4.15;1.46;1.89;0.83;5.31;1.05;4.73;1.10;3.73;1.64;1975.00;7.91;5;2;S;1;0;0.00;0.00
Königin;queen;952;0.80;1.15;4.45;2.04;2.65;1.13;4.69;2.06;6.74;1.60;6.14;1.11;866.00;35.40;7;3;S;0;0;0.00;0.00
schnell;quick;953;0.94;0.97;6.85;1.31;3.15;1.08;6.31;1.52;5.40;1.71;3.80;1.40;9868.00;453.48;7;1;A;0;0;0.00;0.00
schnell;quick;953;0.94;0.97;6.85;1.31;3.15;1.08;6.31;1.52;5.40;1.71;3.80;1.40;9868.00;453.48;7;1;A;0;0;0.00;0.00
strahlend;radiant;954;1.48;0.87;6.00;2.15;2.52;1.03;6.13;1.32;5.90;1.63;4.76;1.64;192.00;1.93;9;2;A;0;0;0.00;0.00
Heizkörper;radiator;955;0.53;0.99;3.45;1.43;2.08;1.13;5.50;1.61;4.88;1.76;6.20;1.01;40.00;0.20;10;3;S;0;0;0.00;0.00
ranzig;rancid;956;-1.53;1.41;5.65;1.31;3.38;1.06;4.69;1.22;5.28;1.34;3.50;1.50;11.00;0.28;6;2;A;0;0;0.00;0.00
Rasierapparat;razor;957;0.00;0.52;4.35;1.46;2.42;1.17;6.44;1.81;4.76;1.54;6.45;1.23;11.00;0.47;13;5;S;0;0;0.00;0.00
Reptil;reptile;958;-0.53;0.92;5.30;2.08;2.77;1.07;4.50;1.43;5.38;1.76;5.50;1.70;19.00;0.63;6;2;S;0;0;0.00;0.00
beleidigt;resent;959;-1.65;0.98;5.90;1.55;3.40;0.69;5.19;1.53;6.00;2.05;3.43;1.57;157.00;15.83;9;3;A;0;0;0.00;0.00
Restaurant;restaurant;960;1.25;1.00;4.30;1.66;2.16;0.88;5.69;1.43;4.60;1.30;6.04;1.17;1165.00;42.88;10;3;S;0;0;0.00;0.00
Sitzung;reunion;961;-0.38;1.02;3.50;1.85;2.11;0.90;5.44;1.00;4.76;1.64;4.23;1.73;2896.00;12.13;7;2;S;2;0;14.50;14.67
Revolver;revolver;962;-2.14;1.04;6.75;1.59;4.14;1.04;3.94;2.38;6.35;1.53;5.59;1.30;133.00;8.03;8;3;S;0;0;0.00;0.00
starr;rigid;963;-0.70;0.48;4.26;1.28;2.32;1.29;4.69;1.15;5.58;1.47;3.22;1.86;144.00;0.00;5;1;A;2;2;480.50;531.33
Räuber;robber;964;-1.53;1.13;6.00;1.81;3.96;0.60;3.44;1.18;6.95;1.73;5.29;1.59;470.00;10.28;6;2;S;1;0;0.00;0.00
Fels;rock;965;0.33;0.72;3.15;1.66;1.96;0.87;5.19;1.84;5.78;1.90;6.20;1.01;169.00;5.39;4;1;S;2;1;99.67;105.33
rau;rough;966;-0.40;0.99;5.15;1.31;3.08;0.80;4.75;1.14;5.43;1.38;4.05;1.76;43.00;2.68;3;1;A;10;9;129.17;401.50
sicher;safe;967;1.67;1.29;3.30;1.78;1.92;0.74;6.50;1.40;5.70;1.60;2.65;1.18;8713.00;868.62;6;2;A;2;0;1.83;2.17
Heiliger;saint;968;0.97;1.21;4.40;1.96;1.95;1.11;4.63;1.45;5.31;2.05;4.38;1.86;99.00;16.02;8;3;S;0;0;0.00;0.00
speichern;save;969;0.84;0.80;3.60;1.47;2.24;0.66;6.00;1.23;5.20;0.92;2.55;1.61;1774.00;2.48;9;2;V;1;0;0.17;0.17
abkochen;scalding;970;-0.20;0.56;3.90;2.13;2.73;1.31;5.75;1.70;4.76;1.30;3.55;1.64;5.00;0.12;8;3;V;1;0;0.00;0.00
Skandal;scandal;971;-1.30;1.06;6.85;1.31;3.50;1.25;5.19;1.86;6.33;1.37;2.67;1.00;1025.00;6.06;7;2;S;0;0;0.00;0.00
Sündenbock;scapegoat;972;-1.88;0.60;6.25;1.62;3.72;0.94;5.00;1.79;4.19;1.87;3.80;1.91;2.00;2.24;10;3;S;0;0;0.00;0.00
Narbe;scar;973;-1.15;0.99;6.10;1.21;3.42;0.96;4.38;1.38;5.15;1.61;5.27;1.24;60.00;10.59;5;2;S;3;1;67.67;68.50
Schere;scissors;974;0.00;1.12;4.80;1.74;2.50;0.79;5.75;1.59;4.83;1.71;5.95;1.40;211.00;7.21;6;2;S;3;1;10.17;10.17
brennend;scorching;975;-0.80;0.94;6.45;1.57;3.69;0.97;4.69;1.56;5.98;1.54;4.60;2.06;30.00;0.79;8;2;A;0;0;0.00;0.00
Skorpion;scorpion;976;-0.40;1.17;5.85;1.98;3.22;1.06;4.00;1.61;5.70;1.62;6.44;0.88;28.00;4.09;8;3;S;0;0;0.00;0.00
Gefühl;sentiment;977;2.21;0.84;6.15;2.06;3.11;1.41;5.69;1.86;5.68;2.14;3.35;1.79;2936.00;122.37;6;2;S;1;0;0.50;0.50
Flinte;shotgun;979;-0.52;1.05;5.40;1.31;3.64;0.86;5.25;1.87;6.00;1.73;6.25;0.91;185.00;2.48;6;2;S;0;0;0.00;0.00
Aufschrei;shriek;980;-1.00;0.93;6.60;1.85;3.93;0.78;4.31;1.90;6.88;0.97;4.62;1.47;179.00;2.28;9;2;S;0;0;0.00;0.00
doof;silly;981;-1.50;0.93;5.40;1.60;2.62;1.00;5.44;1.57;4.50;1.93;2.95;1.60;105.00;11.46;4;1;A;1;1;94.83;94.83
langsam;slow;982;-0.67;1.40;3.15;1.69;1.88;0.86;5.69;1.43;4.35;1.59;3.20;1.54;2560.00;147.33;7;2;A;0;0;0.00;0.00
Schneeregen;slush;983;-0.67;1.63;5.35;1.98;2.77;1.11;4.75;1.35;4.76;1.59;5.85;1.35;36.00;0.16;11;3;S;0;0;0.00;0.00
glatt;smooth;984;0.25;0.86;4.00;1.52;2.38;1.06;4.81;1.02;4.33;1.47;4.25;1.65;485.00;12.91;5;1;A;2;1;72.33;76.67
gesellig;social;985;0.80;0.86;4.58;2.04;2.42;0.70;6.19;1.42;6.66;1.31;3.76;1.37;16.00;1.14;8;3;A;0;0;0.00;0.00
sanft;soft;986;1.30;0.48;3.45;2.21;1.80;1.32;5.75;1.82;3.73;1.93;3.89;1.45;371.00;10.51;5;1;A;0;0;0.00;0.00
Lied;song;987;1.60;0.84;4.30;2.39;1.94;0.87;6.13;1.94;4.80;1.94;4.11;1.45;791.00;57.01;4;1;S;3;1;130.67;132.17
Lied;song;987;1.60;0.84;4.30;2.39;1.94;0.87;6.13;1.94;4.80;1.94;4.11;1.45;791.00;57.01;4;1;S;3;1;130.67;132.17
beruhigen;soothe;988;1.06;0.85;3.30;1.38;1.85;1.01;6.06;1.57;6.15;2.20;3.24;1.00;442.00;39.57;9;4;V;0;0;0.00;0.00
sauer;sour;989;-0.90;0.74;6.05;1.43;3.53;0.90;5.13;1.47;6.36;1.78;4.22;1.79;434.00;70.04;5;2;A;4;3;153.17;260.67
Prügel;spanking;990;-1.92;1.12;7.25;1.02;3.38;1.24;4.19;2.11;7.36;0.64;4.75;1.21;141.00;7.32;6;2;S;0;0;0.00;0.00
Sphäre;sphere;991;0.20;0.68;3.95;1.70;2.58;1.06;4.13;1.54;5.03;1.82;3.10;1.83;97.00;0.63;6;2;S;1;0;0.00;0.00
Spray;spray;992;-0.13;0.64;4.55;1.61;2.35;1.09;5.94;1.47;4.53;1.77;5.65;1.18;30.00;0.79;5;1;S;0;0;0.00;0.00
Frühling;spring;993;1.75;0.86;4.55;2.37;2.73;1.28;5.63;1.92;5.23;2.08;5.25;1.55;483.00;12.68;8;2;S;0;0;0.00;0.00
stagnierend;stagnant;994;-1.00;1.04;4.15;1.69;2.60;0.76;4.06;1.50;5.30;2.06;2.65;1.50;1.00;0.00;11;3;A;0;0;0.00;0.00
Statue;statue;995;0.25;0.45;3.70;1.53;2.08;0.93;5.13;1.40;4.78;1.62;5.95;1.28;152.00;9.09;6;3;S;3;2;18.67;31.00
Gestank;stench;996;-2.10;0.74;6.75;1.12;3.59;0.94;4.00;1.37;6.48;1.32;3.56;2.24;93.00;9.33;7;2;S;0;0;0.00;0.00
steif;stiff;997;-0.70;1.34;5.45;1.64;2.63;1.34;4.75;0.93;4.37;1.78;5.22;0.83;120.00;6.73;5;1;A;4;2;60.00;79.17
Magen;stomach;998;0.50;0.71;4.45;1.73;2.43;0.87;5.44;1.32;4.88;1.59;5.78;1.09;394.00;22.40;5;2;S;12;7;2026.50;2867.83
Hocker;stool;999;0.14;0.71;2.75;1.55;1.95;0.95;5.63;1.90;4.13;1.38;5.36;1.50;88.00;1.89;6;2;S;5;1;13.00;13.00
Sturm;storm;1000;-0.10;0.99;6.85;1.27;4.10;0.91;3.88;1.68;6.65;1.56;6.00;1.00;51.00;21.97;5;2;S;2;0;26.00;43.50
Ofen;stove;1001;1.00;0.93;3.95;1.57;2.18;0.73;5.38;1.73;5.32;1.25;5.36;1.43;186.00;9.92;4;2;S;2;1;115.17;116.00
Zucker;sugar;1002;1.00;1.15;4.40;1.39;2.35;1.06;5.69;1.93;4.40;1.52;6.25;1.12;399.00;21.73;6;2;S;2;1;22.33;22.33
Sonnenlicht;sunlight;1003;2.24;1.27;3.90;2.05;2.32;1.35;5.06;2.14;5.40;1.90;6.20;0.89;171.00;4.53;11;2;A;0;0;0.00;0.00
Sumpf;swamp;1004;-0.80;0.92;5.20;1.70;2.21;1.13;4.44;1.38;4.63;1.48;6.11;0.93;20.00;0.00;5;2;S;2;1;9.50;15.33
